2017-06-02 01:07:06 startup archives install
2017-06-02 01:07:06 install base-passwd:amd64 <none> 3.5.33
2017-06-02 01:07:06 status half-installed base-passwd:amd64 3.5.33
2017-06-02 01:07:06 status unpacked base-passwd:amd64 3.5.33
2017-06-02 01:07:06 status unpacked base-passwd:amd64 3.5.33
2017-06-02 01:07:06 configure base-passwd:amd64 3.5.33 3.5.33
2017-06-02 01:07:06 status unpacked base-passwd:amd64 3.5.33
2017-06-02 01:07:06 status half-configured base-passwd:amd64 3.5.33
2017-06-02 01:07:06 status installed base-passwd:amd64 3.5.33
2017-06-02 01:07:06 startup archives install
2017-06-02 01:07:06 install base-files:amd64 <none> 7.2ubuntu5
2017-06-02 01:07:06 status half-installed base-files:amd64 7.2ubuntu5
2017-06-02 01:07:06 status unpacked base-files:amd64 7.2ubuntu5
2017-06-02 01:07:06 status unpacked base-files:amd64 7.2ubuntu5
2017-06-02 01:07:06 configure base-files:amd64 7.2ubuntu5 7.2ubuntu5
2017-06-02 01:07:06 status unpacked base-files:amd64 7.2ubuntu5
2017-06-02 01:07:06 status unpacked base-files:amd64 7.2ubuntu5
2017-06-02 01:07:06 status unpacked base-files:amd64 7.2ubuntu5
2017-06-02 01:07:06 status unpacked base-files:amd64 7.2ubuntu5
2017-06-02 01:07:06 status unpacked base-files:amd64 7.2ubuntu5
2017-06-02 01:07:06 status unpacked base-files:amd64 7.2ubuntu5
2017-06-02 01:07:06 status unpacked base-files:amd64 7.2ubuntu5
2017-06-02 01:07:06 status unpacked base-files:amd64 7.2ubuntu5
2017-06-02 01:07:06 status unpacked base-files:amd64 7.2ubuntu5
2017-06-02 01:07:06 status unpacked base-files:amd64 7.2ubuntu5
2017-06-02 01:07:06 status unpacked base-files:amd64 7.2ubuntu5
2017-06-02 01:07:06 status unpacked base-files:amd64 7.2ubuntu5
2017-06-02 01:07:06 status half-configured base-files:amd64 7.2ubuntu5
2017-06-02 01:07:06 status installed base-files:amd64 7.2ubuntu5
2017-06-02 01:07:06 startup archives install
2017-06-02 01:07:06 upgrade dpkg 1.17.5ubuntu5 1.17.5ubuntu5
2017-06-02 01:07:06 status half-configured dpkg 1.17.5ubuntu5
2017-06-02 01:07:06 status unpacked dpkg 1.17.5ubuntu5
2017-06-02 01:07:06 status half-installed dpkg 1.17.5ubuntu5
2017-06-02 01:07:06 status half-installed dpkg 1.17.5ubuntu5
2017-06-02 01:07:06 status unpacked dpkg 1.17.5ubuntu5
2017-06-02 01:07:06 status unpacked dpkg 1.17.5ubuntu5
2017-06-02 01:07:06 configure dpkg 1.17.5ubuntu5 1.17.5ubuntu5
2017-06-02 01:07:06 status unpacked dpkg 1.17.5ubuntu5
2017-06-02 01:07:06 status unpacked dpkg 1.17.5ubuntu5
2017-06-02 01:07:06 status unpacked dpkg 1.17.5ubuntu5
2017-06-02 01:07:06 status unpacked dpkg 1.17.5ubuntu5
2017-06-02 01:07:06 status unpacked dpkg 1.17.5ubuntu5
2017-06-02 01:07:06 status half-configured dpkg 1.17.5ubuntu5
2017-06-02 01:07:06 status installed dpkg 1.17.5ubuntu5
2017-06-02 01:07:06 startup archives install
2017-06-02 01:07:06 install libc6:amd64 <none> 2.19-0ubuntu6
2017-06-02 01:07:06 status half-installed libc6:amd64 2.19-0ubuntu6
2017-06-02 01:07:07 status unpacked libc6:amd64 2.19-0ubuntu6
2017-06-02 01:07:07 status unpacked libc6:amd64 2.19-0ubuntu6
2017-06-02 01:07:07 configure libc6:amd64 2.19-0ubuntu6 2.19-0ubuntu6
2017-06-02 01:07:07 status unpacked libc6:amd64 2.19-0ubuntu6
2017-06-02 01:07:07 status unpacked libc6:amd64 2.19-0ubuntu6
2017-06-02 01:07:07 status half-configured libc6:amd64 2.19-0ubuntu6
2017-06-02 01:07:07 status installed libc6:amd64 2.19-0ubuntu6
2017-06-02 01:07:07 startup archives install
2017-06-02 01:07:07 install perl-base:amd64 <none> 5.18.2-2ubuntu1
2017-06-02 01:07:07 status half-installed perl-base:amd64 5.18.2-2ubuntu1
2017-06-02 01:07:07 status unpacked perl-base:amd64 5.18.2-2ubuntu1
2017-06-02 01:07:07 status unpacked perl-base:amd64 5.18.2-2ubuntu1
2017-06-02 01:07:07 configure perl-base:amd64 5.18.2-2ubuntu1 5.18.2-2ubuntu1
2017-06-02 01:07:07 status unpacked perl-base:amd64 5.18.2-2ubuntu1
2017-06-02 01:07:07 status half-configured perl-base:amd64 5.18.2-2ubuntu1
2017-06-02 01:07:07 status installed perl-base:amd64 5.18.2-2ubuntu1
2017-06-02 01:07:07 startup archives install
2017-06-02 01:07:07 install mawk:amd64 <none> 1.3.3-17ubuntu2
2017-06-02 01:07:07 status half-installed mawk:amd64 1.3.3-17ubuntu2
2017-06-02 01:07:07 status unpacked mawk:amd64 1.3.3-17ubuntu2
2017-06-02 01:07:07 status unpacked mawk:amd64 1.3.3-17ubuntu2
2017-06-02 01:07:07 configure mawk:amd64 1.3.3-17ubuntu2 1.3.3-17ubuntu2
2017-06-02 01:07:07 status unpacked mawk:amd64 1.3.3-17ubuntu2
2017-06-02 01:07:07 status half-configured mawk:amd64 1.3.3-17ubuntu2
2017-06-02 01:07:07 status installed mawk:amd64 1.3.3-17ubuntu2
2017-06-02 01:07:07 startup archives unpack
2017-06-02 01:07:07 install adduser:all <none> 3.113+nmu3ubuntu3
2017-06-02 01:07:07 status half-installed adduser:all 3.113+nmu3ubuntu3
2017-06-02 01:07:07 status unpacked adduser:all 3.113+nmu3ubuntu3
2017-06-02 01:07:07 status unpacked adduser:all 3.113+nmu3ubuntu3
2017-06-02 01:07:08 upgrade base-files:amd64 7.2ubuntu5 7.2ubuntu5
2017-06-02 01:07:08 status half-configured base-files:amd64 7.2ubuntu5
2017-06-02 01:07:08 status unpacked base-files:amd64 7.2ubuntu5
2017-06-02 01:07:08 status half-installed base-files:amd64 7.2ubuntu5
2017-06-02 01:07:08 status half-installed base-files:amd64 7.2ubuntu5
2017-06-02 01:07:08 status unpacked base-files:amd64 7.2ubuntu5
2017-06-02 01:07:08 status unpacked base-files:amd64 7.2ubuntu5
2017-06-02 01:07:08 upgrade base-passwd:amd64 3.5.33 3.5.33
2017-06-02 01:07:08 status half-configured base-passwd:amd64 3.5.33
2017-06-02 01:07:08 status unpacked base-passwd:amd64 3.5.33
2017-06-02 01:07:08 status half-installed base-passwd:amd64 3.5.33
2017-06-02 01:07:08 status half-installed base-passwd:amd64 3.5.33
2017-06-02 01:07:08 status unpacked base-passwd:amd64 3.5.33
2017-06-02 01:07:08 status unpacked base-passwd:amd64 3.5.33
2017-06-02 01:07:08 install bash:amd64 <none> 4.3-6ubuntu1
2017-06-02 01:07:08 status half-installed bash:amd64 4.3-6ubuntu1
2017-06-02 01:07:08 status unpacked bash:amd64 4.3-6ubuntu1
2017-06-02 01:07:08 status unpacked bash:amd64 4.3-6ubuntu1
2017-06-02 01:07:08 install bsdutils:amd64 <none> 1:2.20.1-5.1ubuntu20
2017-06-02 01:07:08 status half-installed bsdutils:amd64 1:2.20.1-5.1ubuntu20
2017-06-02 01:07:08 status unpacked bsdutils:amd64 1:2.20.1-5.1ubuntu20
2017-06-02 01:07:08 status unpacked bsdutils:amd64 1:2.20.1-5.1ubuntu20
2017-06-02 01:07:08 install busybox-initramfs:amd64 <none> 1:1.21.0-1ubuntu1
2017-06-02 01:07:08 status half-installed busybox-initramfs:amd64 1:1.21.0-1ubuntu1
2017-06-02 01:07:08 status unpacked busybox-initramfs:amd64 1:1.21.0-1ubuntu1
2017-06-02 01:07:08 status unpacked busybox-initramfs:amd64 1:1.21.0-1ubuntu1
2017-06-02 01:07:08 install coreutils:amd64 <none> 8.21-1ubuntu5
2017-06-02 01:07:08 status half-installed coreutils:amd64 8.21-1ubuntu5
2017-06-02 01:07:08 status unpacked coreutils:amd64 8.21-1ubuntu5
2017-06-02 01:07:08 status unpacked coreutils:amd64 8.21-1ubuntu5
2017-06-02 01:07:08 install cpio:amd64 <none> 2.11+dfsg-1ubuntu1
2017-06-02 01:07:08 status half-installed cpio:amd64 2.11+dfsg-1ubuntu1
2017-06-02 01:07:08 status unpacked cpio:amd64 2.11+dfsg-1ubuntu1
2017-06-02 01:07:08 status unpacked cpio:amd64 2.11+dfsg-1ubuntu1
2017-06-02 01:07:08 install dash:amd64 <none> 0.5.7-4ubuntu1
2017-06-02 01:07:08 status half-installed dash:amd64 0.5.7-4ubuntu1
2017-06-02 01:07:08 status unpacked dash:amd64 0.5.7-4ubuntu1
2017-06-02 01:07:08 status unpacked dash:amd64 0.5.7-4ubuntu1
2017-06-02 01:07:08 install debconf:all <none> 1.5.51ubuntu2
2017-06-02 01:07:08 status half-installed debconf:all 1.5.51ubuntu2
2017-06-02 01:07:08 status unpacked debconf:all 1.5.51ubuntu2
2017-06-02 01:07:08 status unpacked debconf:all 1.5.51ubuntu2
2017-06-02 01:07:08 install debianutils:amd64 <none> 4.4
2017-06-02 01:07:08 status half-installed debianutils:amd64 4.4
2017-06-02 01:07:08 status unpacked debianutils:amd64 4.4
2017-06-02 01:07:08 status unpacked debianutils:amd64 4.4
2017-06-02 01:07:08 install diffutils:amd64 <none> 1:3.3-1
2017-06-02 01:07:08 status half-installed diffutils:amd64 1:3.3-1
2017-06-02 01:07:08 status unpacked diffutils:amd64 1:3.3-1
2017-06-02 01:07:08 status unpacked diffutils:amd64 1:3.3-1
2017-06-02 01:07:08 upgrade dpkg:amd64 1.17.5ubuntu5 1.17.5ubuntu5
2017-06-02 01:07:08 status half-configured dpkg:amd64 1.17.5ubuntu5
2017-06-02 01:07:08 status unpacked dpkg:amd64 1.17.5ubuntu5
2017-06-02 01:07:08 status half-installed dpkg:amd64 1.17.5ubuntu5
2017-06-02 01:07:08 status half-installed dpkg:amd64 1.17.5ubuntu5
2017-06-02 01:07:08 status unpacked dpkg:amd64 1.17.5ubuntu5
2017-06-02 01:07:08 status unpacked dpkg:amd64 1.17.5ubuntu5
2017-06-02 01:07:08 install e2fslibs:amd64 <none> 1.42.9-3ubuntu1
2017-06-02 01:07:08 status half-installed e2fslibs:amd64 1.42.9-3ubuntu1
2017-06-02 01:07:09 status unpacked e2fslibs:amd64 1.42.9-3ubuntu1
2017-06-02 01:07:09 status unpacked e2fslibs:amd64 1.42.9-3ubuntu1
2017-06-02 01:07:09 install e2fsprogs:amd64 <none> 1.42.9-3ubuntu1
2017-06-02 01:07:09 status half-installed e2fsprogs:amd64 1.42.9-3ubuntu1
2017-06-02 01:07:09 status unpacked e2fsprogs:amd64 1.42.9-3ubuntu1
2017-06-02 01:07:09 status unpacked e2fsprogs:amd64 1.42.9-3ubuntu1
2017-06-02 01:07:09 install findutils:amd64 <none> 4.4.2-7
2017-06-02 01:07:09 status half-installed findutils:amd64 4.4.2-7
2017-06-02 01:07:09 status unpacked findutils:amd64 4.4.2-7
2017-06-02 01:07:09 status unpacked findutils:amd64 4.4.2-7
2017-06-02 01:07:09 install gcc-4.9-base:amd64 <none> 4.9-20140406-0ubuntu1
2017-06-02 01:07:09 status half-installed gcc-4.9-base:amd64 4.9-20140406-0ubuntu1
2017-06-02 01:07:09 status unpacked gcc-4.9-base:amd64 4.9-20140406-0ubuntu1
2017-06-02 01:07:09 status unpacked gcc-4.9-base:amd64 4.9-20140406-0ubuntu1
2017-06-02 01:07:09 install grep:amd64 <none> 2.16-1
2017-06-02 01:07:09 status half-installed grep:amd64 2.16-1
2017-06-02 01:07:09 status unpacked grep:amd64 2.16-1
2017-06-02 01:07:09 status unpacked grep:amd64 2.16-1
2017-06-02 01:07:09 install gzip:amd64 <none> 1.6-3ubuntu1
2017-06-02 01:07:09 status half-installed gzip:amd64 1.6-3ubuntu1
2017-06-02 01:07:09 status unpacked gzip:amd64 1.6-3ubuntu1
2017-06-02 01:07:09 status unpacked gzip:amd64 1.6-3ubuntu1
2017-06-02 01:07:09 install hostname:amd64 <none> 3.15ubuntu1
2017-06-02 01:07:09 status half-installed hostname:amd64 3.15ubuntu1
2017-06-02 01:07:09 status unpacked hostname:amd64 3.15ubuntu1
2017-06-02 01:07:09 status unpacked hostname:amd64 3.15ubuntu1
2017-06-02 01:07:09 install ifupdown:amd64 <none> 0.7.47.2ubuntu4
2017-06-02 01:07:09 status half-installed ifupdown:amd64 0.7.47.2ubuntu4
2017-06-02 01:07:09 status unpacked ifupdown:amd64 0.7.47.2ubuntu4
2017-06-02 01:07:09 status unpacked ifupdown:amd64 0.7.47.2ubuntu4
2017-06-02 01:07:09 install initramfs-tools:all <none> 0.103ubuntu4
2017-06-02 01:07:09 status half-installed initramfs-tools:all 0.103ubuntu4
2017-06-02 01:07:09 status unpacked initramfs-tools:all 0.103ubuntu4
2017-06-02 01:07:09 status unpacked initramfs-tools:all 0.103ubuntu4
2017-06-02 01:07:09 install initramfs-tools-bin:amd64 <none> 0.103ubuntu4
2017-06-02 01:07:09 status half-installed initramfs-tools-bin:amd64 0.103ubuntu4
